1.02E+08,4.01586,0.00256
1.02E+08,4.00771,0.00256
1.02E+08,3.99803,0.00255
1.02E+08,3.98682,0.00255
1.02E+08,3.97675,0.00254
1.02E+08,3.96726,0.00254
1.02E+08,3.95738,0.00253
1.02E+08,3.94626,0.00253
1.02E+08,3.93629,0.00253
1.02E+08,3.92652,0.00252
1.02E+08,3.91702,0.00252
1.02E+08,3.90552,0.00251
1.03E+08,3.89545,0.00251
1.03E+08,3.88585,0.0025
1.03E+08,3.87627,0.0025
1.03E+08,3.86515,0.0025
1.03E+08,3.85519,0.00249
1.03E+08,3.84531,0.00249
1.03E+08,3.83554,0.00248
1.03E+08,3.8247,0.00248
1.03E+08,3.81491,0.00248
1.03E+08,3.80513,0.00247
1.03E+08,3.79506,0.00247
1.03E+08,3.78394,0.00246
1.03E+08,3.77387,0.00246
1.03E+08,3.7644,0.00245
1.03E+08,3.75441,0.00245
1.03E+08,3.74329,0.00245
1.03E+08,3.73303,0.00244
1.03E+08,3.72364,0.00244
1.03E+08,3.71396,0.00243
1.03E+08,3.70303,0.00243
1.03E+08,3.69296,0.00242
1.03E+08,3.68338,0.00242
1.03E+08,3.6735,0.00242
1.04E+08,3.66189,0.00241
1.04E+08,3.65222,0.00241
1.04E+08,3.64243,0.0024
1.04E+08,3.63247,0.0024
1.04E+08,3.62116,0.00239
1.04E+08,3.61109,0.00239
1.04E+08,3.60121,0.00238
1.04E+08,3.59114,0.00238
1.04E+08,3.57925,0.00238
1.04E+08,3.5689,0.00237
1.04E+08,3.55874,0.00237
1.04E+08,3.54895,0.00236
1.04E+08,3.53794,0.00236
1.04E+08,3.52796,0.00235
1.04E+08,3.5178,0.00235
1.04E+08,3.50745,0.00234
1.04E+08,3.49546,0.00234
1.04E+08,3.48492,0.00234
1.04E+08,3.47476,0.00233
1.04E+08,3.46439,0.00232
1.04E+08,3.4527,0.00232
1.04E+08,3.44254,0.00232
1.04E+08,3.43228,0.00231
1.05E+08,3.42146,0.0023
1.05E+08,3.40927,0.0023
1.05E+08,3.39854,0.00229
1.05E+08,3.38828,0.00229
1.05E+08,3.37812,0.00228
1.05E+08,3.36602,0.00228
1.05E+08,3.35567,0.00227
1.05E+08,3.34513,0.00227
1.05E+08,3.33429,0.00226
1.05E+08,3.32251,0.00226
1.05E+08,3.31138,0.00225
1.05E+08,3.30094,0.00225
1.05E+08,3.29019,0.00224
1.05E+08,3.27773,0.00223
1.05E+08,3.26699,0.00223
1.05E+08,3.25588,0.00222
1.05E+08,3.24504,0.00222
1.05E+08,3.2323,0.00221
1.05E+08,3.22107,0.0022
1.05E+08,3.21015,0.0022
1.05E+08,3.19901,0.00219
1.05E+08,3.18627,0.00218
1.05E+08,3.17486,0.00218
1.06E+08,3.16336,0.00217
1.06E+08,3.15166,0.00216
1.06E+08,3.13901,0.00215
1.06E+08,3.12732,0.00215
