1.60E+11,-6.33E-08,1.34E-07,-1.05E-07
1.60E+11,-1.98E-07,7.26E-08,-1.68E-07
1.60E+11,-8.47E-08,3.51E-08,4.34E-08
1.60E+11,2.26E-08,-7.53E-08,-1.57E-07
1.60E+11,4.66E-08,5.30E-08,-1.66E-09
1.60E+11,2.04E-08,-3.67E-08,-1.41E-07
1.60E+11,-3.55E-08,2.16E-08,-6.47E-08
1.60E+11,2.92E-07,7.72E-08,-6.77E-09
1.60E+11,2.01E-07,-6.08E-09,-1.28E-07
1.60E+11,2.05E-07,-2.76E-07,-5.56E-08
1.60E+11,-1.24E-07,8.79E-08,1.36E-07
1.61E+11,8.55E-08,-3.87E-08,2.59E-07
1.61E+11,2.35E-07,2.74E-07,5.16E-08
1.61E+11,-2.17E-07,1.40E-08,1.93E-07
1.61E+11,3.43E-08,9.74E-08,4.87E-07
1.61E+11,-8.95E-08,-1.86E-07,7.60E-08
1.61E+11,3.81E-08,-2.69E-08,-1.38E-07
1.61E+11,-3.40E-08,-8.71E-08,1.22E-07
1.61E+11,-3.19E-07,3.07E-08,3.21E-08
1.61E+11,-2.49E-07,-7.42E-08,5.44E-08
1.61E+11,1.84E-07,-9.82E-08,1.18E-07
1.61E+11,-5.87E-08,2.60E-08,1.85E-07
1.61E+11,8.78E-08,2.57E-07,-4.71E-08
1.61E+11,-1.59E-07,-1.25E-07,-5.12E-08
1.61E+11,1.22E-07,-6.63E-08,7.50E-08
1.61E+11,1.75E-07,-3.17E-08,1.58E-07
1.61E+11,1.98E-07,2.85E-07,-4.23E-09
1.61E+11,1.65E-07,-2.10E-10,3.50E-07
1.61E+11,7.30E-08,5.26E-08,1.31E-07
1.61E+11,3.11E-09,-6.94E-08,-9.97E-08
1.61E+11,-1.14E-07,-6.97E-08,1.07E-07
1.61E+11,-6.62E-08,-1.23E-07,1.74E-07
1.61E+11,1.28E-07,-1.19E-07,2.68E-08
1.62E+11,-1.20E-07,-1.55E-07,2.90E-07
1.62E+11,-1.22E-07,2.76E-08,2.55E-07
1.62E+11,4.50E-09,-6.37E-08,3.78E-07
1.62E+11,-2.78E-08,-8.75E-08,5.31E-08
1.62E+11,5.00E-09,1.38E-07,8.63E-08
1.62E+11,6.08E-08,-9.01E-08,1.45E-07
1.62E+11,-5.19E-08,-1.39E-07,1.59E-07
1.62E+11,3.10E-08,5.10E-08,1.31E-07
1.62E+11,-2.67E-07,1.70E-08,4.32E-08
1.62E+11,-5.18E-08,-4.23E-09,2.12E-08
1.62E+11,3.27E-08,1.53E-07,2.36E-07
1.62E+11,-5.01E-08,-2.03E-07,1.15E-08
1.62E+11,3.49E-07,-1.08E-07,2.07E-08
1.62E+11,-5.66E-09,2.94E-07,1.78E-07
