1.60E+11,4.50E-07,7.91E-08,4.32E-07
1.60E+11,4.35E-07,5.90E-07,2.72E-07
1.60E+11,3.26E-07,2.12E-07,4.69E-07
1.60E+11,4.08E-07,4.86E-07,3.68E-07
1.60E+11,5.03E-07,2.34E-07,1.31E-07
1.60E+11,2.55E-07,7.28E-07,6.70E-07
1.60E+11,4.54E-07,8.90E-07,3.27E-07
1.60E+11,3.72E-07,9.90E-07,5.33E-07
1.60E+11,5.80E-07,4.65E-07,9.14E-07
1.60E+11,4.55E-07,3.64E-07,1.92E-07
1.60E+11,1.86E-07,3.18E-07,8.06E-07
1.61E+11,3.26E-07,9.24E-08,3.06E-07
1.61E+11,3.76E-07,2.45E-07,2.41E-07
1.61E+11,3.27E-07,6.69E-07,4.21E-07
1.61E+11,2.04E-07,7.52E-07,7.47E-08
1.61E+11,7.62E-07,1.26E-07,1.32E-06
1.61E+11,6.05E-07,1.95E-07,8.55E-07
1.61E+11,1.22E-07,4.22E-07,5.63E-07
1.61E+11,4.11E-07,5.96E-07,2.56E-07
1.61E+11,1.85E-07,4.68E-07,8.73E-08
1.61E+11,6.65E-07,4.76E-07,4.57E-07
1.61E+11,4.22E-07,6.09E-07,5.01E-07
1.61E+11,4.62E-07,1.34E-07,1.81E-07
1.61E+11,5.39E-07,5.18E-07,9.29E-07
1.61E+11,3.20E-07,3.01E-07,5.15E-07
1.61E+11,1.59E-06,3.65E-07,1.55E-07
1.61E+11,2.28E-07,2.62E-07,5.74E-07
1.61E+11,6.67E-07,3.90E-07,5.32E-07
1.61E+11,8.64E-07,9.56E-08,5.70E-07
1.61E+11,1.93E-07,5.55E-08,5.48E-07
1.61E+11,6.76E-07,7.21E-07,4.58E-07
1.61E+11,2.50E-07,6.70E-07,3.56E-07
1.61E+11,3.68E-07,4.22E-07,3.79E-07
1.62E+11,3.19E-07,3.17E-07,4.49E-07
1.62E+11,1.80E-07,2.00E-07,3.82E-07
1.62E+11,3.95E-07,1.02E-07,1.61E-07
1.62E+11,2.23E-07,1.63E-07,7.02E-07
1.62E+11,4.88E-07,8.14E-07,3.20E-07
1.62E+11,5.51E-07,2.79E-07,7.02E-08
1.62E+11,3.82E-07,7.50E-07,6.71E-07
1.62E+11,4.46E-07,2.19E-07,6.35E-07
1.62E+11,6.92E-07,3.33E-07,4.92E-07
1.62E+11,1.02E-06,4.67E-07,1.07E-06
1.62E+11,1.32E-07,2.17E-07,4.22E-07
1.62E+11,3.71E-07,4.38E-07,7.17E-07
1.62E+11,7.84E-07,4.32E-07,5.61E-07
1.62E+11,3.73E-07,1.48E-07,2.64E-07
1.62E+11,6.26E-07,2.05E-07,1.16E-06
1.62E+11,5.59E-07,4.72E-07,1.86E-07
1.62E+11,4.23E-07,7.97E-07,6.14E-07
1.62E+11,4.71E-07,7.58E-07,3.12E-07
1.62E+11,6.77E-07,8.21E-07,1.72E-07
1.62E+11,6.97E-07,9.02E-07,2.28E-07
1.62E+11,2.52E-07,7.06E-07,3.85E-07
1.63E+11,3.54E-07,4.80E-07,1.57E-07
1.63E+11,2.30E-07,2.71E-07,3.25E-07
1.63E+11,6.20E-08,2.20E-07,1.11E-07
1.63E+11,1.38E-07,5.66E-07,4.74E-07
1.63E+11,2.43E-07,4.27E-07,1.17E-07
1.63E+11,7.81E-07,3.60E-07,2.03E-08
1.63E+11,6.27E-07,4.46E-07,8.33E-07
1.63E+11,5.37E-07,3.64E-07,4.73E-07
1.63E+11,2.76E-07,4.05E-07,6.97E-07
1.63E+11,4.73E-07,2.96E-07,8.76E-07
1.63E+11,3.32E-07,2.45E-08,2.45E-07
1.63E+11,4.07E-07,4.58E-07,7.26E-07
1.63E+11,7.58E-07,6.86E-08,5.07E-07
1.63E+11,5.79E-07,1.88E-07,5.47E-07
1.63E+11,2.90E-07,9.00E-07,4.41E-07
1.63E+11,1.97E-07,3.45E-07,8.13E-07
1.63E+11,7.39E-07,8.46E-07,5.44E-07
1.63E+11,4.19E-07,4.13E-07,3.31E-07
