0,106000000,1.03E-06,66.48575,4.10E-07,9.42E-07
0,106025000,1.22E-06,69.36574,4.31E-07,1.15E-06
0,106050000,1.23E-06,87.93515,4.44E-08,1.23E-06
0,106075000,1.40E-06,78.23082,2.86E-07,1.37E-06
0,106100000,7.90E-07,99.64053,-1.32E-07,7.79E-07
0,106125000,1.13E-06,77.7096,2.40E-07,1.10E-06
0,106150000,9.83E-07,14.40726,9.52E-07,2.45E-07
0,106175000,1.04E-06,75.47394,2.62E-07,1.01E-06
0,106200000,5.37E-07,72.843,1.58E-07,5.13E-07
0,106225000,4.27E-07,32.80696,3.59E-07,2.31E-07
0,106250000,6.88E-07,68.55958,2.51E-07,6.40E-07
0,106275000,5.49E-07,50.96195,3.46E-07,4.26E-07
0,106300000,1.07E-06,34.11975,8.89E-07,6.02E-07
0,106325000,8.05E-07,44.14202,5.78E-07,5.61E-07
0,106350000,7.36E-07,54.09262,4.32E-07,5.97E-07
0,106375000,8.19E-07,47.41446,5.54E-07,6.03E-07
0,106400000,6.84E-07,9.422297,6.74E-07,1.12E-07
0,106425000,3.23E-07,-89.90615,5.29E-10,-3.23E-07
0,106450000,5.75E-07,97.1063,-7.11E-08,5.71E-07
0,106475000,5.74E-07,176.6106,-5.73E-07,3.39E-08
0,106500000,5.47E-07,-111.485,-2.00E-07,-5.09E-07
0,106525000,1.00E-06,-91.60483,-2.80E-08,-1.00E-06
0,106550000,2.95E-07,42.76672,2.17E-07,2.00E-07
0,106575000,6.25E-07,-98.96975,-9.74E-08,-6.17E-07
0,106600000,1.50E-06,-77.70304,3.18E-07,-1.46E-06
0,106625000,2.07E-06,-87.94761,7.43E-08,-2.07E-06
0,106650000,1.71E-06,-74.49631,4.58E-07,-1.65E-06
0,106675000,1.33E-06,-88.07312,4.46E-08,-1.32E-06
0,106700000,1.18E-06,-72.64345,3.52E-07,-1.13E-06
0,106725000,1.82E-06,-68.5372,6.64E-07,-1.69E-06
0,106750000,1.87E-06,-110.5175,-6.54E-07,-1.75E-06
0,106775000,2.30E-06,-90.31285,-1.26E-08,-2.30E-06
0,106800000,2.86E-06,-95.73966,-2.86E-07,-2.85E-06
0,106825000,2.78E-06,-99.46098,-4.57E-07,-2.74E-06
0,106850000,3.04E-06,-106.3692,-8.56E-07,-2.92E-06
0,106875000,3.05E-06,-106.6867,-8.74E-07,-2.92E-06
0,106900000,2.91E-06,-101.3209,-5.71E-07,-2.85E-06
0,106925000,4.02E-06,-87.21621,1.95E-07,-4.01E-06
0,106950000,4.04E-06,-89.17723,5.80E-08,-4.04E-06
0,106975000,4.27E-06,-87.03156,2.21E-07,-4.26E-06
0,107000000,4.26E-06,-89.30713,5.15E-08,-4.26E-06
