0.3903,1.75E-04,-1.59E-04,0.7375,,0.39133,1.45E-04,-1.98E-04,0.94074
0.39028,1.73E-04,-1.60E-04,0.74484,,0.39191,1.45E-04,-1.98E-04,0.9387
0.39081,1.70E-04,-1.60E-04,0.75424,,0.39308,1.45E-04,-1.98E-04,0.93978
0.38823,1.69E-04,-1.61E-04,0.76143,,0.39148,1.44E-04,-1.98E-04,0.94077
0.38952,1.68E-04,-1.61E-04,0.76442,,0.38926,1.44E-04,-1.99E-04,0.94485
0.3907,1.69E-04,-1.61E-04,0.76264,,0.39125,1.43E-04,-1.99E-04,0.94741
0.3887,1.70E-04,-1.60E-04,0.75545,,0.3886,1.44E-04,-1.98E-04,0.94347
0.38996,1.72E-04,-1.60E-04,0.74838,,0.38983,1.44E-04,-1.98E-04,0.94263
0.38905,1.74E-04,-1.60E-04,0.74338,,0.39201,1.44E-04,-1.98E-04,0.94257
0.38658,1.75E-04,-1.59E-04,0.73867,,0.38828,1.44E-04,-1.99E-04,0.94487
0.38855,1.74E-04,-1.59E-04,0.74015,,0.39006,1.43E-04,-1.99E-04,0.94927
0.38942,1.73E-04,-1.60E-04,0.74631,,0.38859,1.43E-04,-1.99E-04,0.94709
0.38635,1.71E-04,-1.60E-04,0.7543,,0.38593,1.44E-04,-1.98E-04,0.94182
0.38757,1.69E-04,-1.61E-04,0.76023,,0.3861,1.46E-04,-1.98E-04,0.93446
0.38577,1.69E-04,-1.61E-04,0.76237,,0.38583,1.46E-04,-1.97E-04,0.93373
0.38439,1.69E-04,-1.61E-04,0.76058,,0.38625,1.46E-04,-1.98E-04,0.93503
0.38632,1.71E-04,-1.60E-04,0.75399,,0.38761,1.46E-04,-1.98E-04,0.93592
0.38299,1.72E-04,-1.60E-04,0.75166,,0.38204,1.46E-04,-1.98E-04,0.93429
0.38404,1.71E-04,-1.60E-04,0.75251,,0.38185,1.46E-04,-1.98E-04,0.93608
0.38463,1.71E-04,-1.60E-04,0.7543,,0.38354,1.46E-04,-1.99E-04,0.93785
0.38305,1.70E-04,-1.61E-04,0.75549,,0.38093,1.45E-04,-1.98E-04,0.94041
0.38242,1.70E-04,-1.61E-04,0.75848,,0.38226,1.45E-04,-1.99E-04,0.94275
0.38182,1.68E-04,-1.61E-04,0.76416,,0.38167,1.44E-04,-1.99E-04,0.94344
0.37921,1.68E-04,-1.62E-04,0.76716,,0.38069,1.45E-04,-1.99E-04,0.94119
0.37972,1.68E-04,-1.61E-04,0.76476,,0.38151,1.44E-04,-1.99E-04,0.94332
0.38328,1.70E-04,-1.61E-04,0.75937,,0.37869,1.44E-04,-1.99E-04,0.94406
0.38059,1.70E-04,-1.61E-04,0.75549,,0.3776,1.44E-04,-2.00E-04,0.94724
0.38008,1.71E-04,-1.60E-04,0.75459,,0.38204,1.43E-04,-1.99E-04,0.94983
0.38022,1.70E-04,-1.60E-04,0.75547,,0.38073,1.43E-04,-1.99E-04,0.9495
0.37859,1.69E-04,-1.61E-04,0.75995,,0.37791,1.42E-04,-1.99E-04,0.94955
0.38084,1.68E-04,-1.61E-04,0.76416,,0.37983,1.43E-04,-1.99E-04,0.94638
0.38053,1.67E-04,-1.62E-04,0.76806,,0.37797,1.44E-04,-1.99E-04,0.94284
0.37922,1.67E-04,-1.62E-04,0.76838,,0.3755,1.45E-04,-1.99E-04,0.94021
0.37977,1.69E-04,-1.61E-04,0.76327,,0.37668,1.45E-04,-1.99E-04,0.93907
0.3774,1.70E-04,-1.61E-04,0.75673,,0.37438,1.46E-04,-1.99E-04,0.93809
0.37492,1.71E-04,-1.61E-04,0.75461,,0.37413,1.46E-04,-1.99E-04,0.93785
0.37598,1.70E-04,-1.61E-04,0.75789,,0.37529,1.47E-04,-1.99E-04,0.93402
0.37549,1.69E-04,-1.61E-04,0.76236,,0.3742,1.47E-04,-1.99E-04,0.93491
0.37519,1.68E-04,-1.62E-04,0.76627,,0.37433,1.46E-04,-1.99E-04,0.93768
0.37341,1.67E-04,-1.62E-04,0.76988,,0.37438,1.44E-04,-1.99E-04,0.94374
0.37145,1.66E-04,-1.62E-04,0.77198,,0.37198,1.44E-04,-1.99E-04,0.94544
0.37315,1.66E-04,-1.62E-04,0.77259,,0.37131,1.45E-04,-1.99E-04,0.94218
0.37077,1.67E-04,-1.62E-04,0.77047,,0.37533,1.46E-04,-1.98E-04,0.93493
0.37179,1.68E-04,-1.62E-04,0.76569,,0.37382,1.47E-04,-1.98E-04,0.93184
0.373,1.69E-04,-1.61E-04,0.7606,,0.37207,1.47E-04,-1.98E-04,0.93476
0.37218,1.72E-04,-1.61E-04,0.75352,,0.37318,1.45E-04,-1.99E-04,0.94063
0.3725,1.72E-04,-1.61E-04,0.75143,,0.37045,1.45E-04,-1.99E-04,0.93859
0.37071,1.71E-04,-1.61E-04,0.75406,,0.36935,1.47E-04,-1.98E-04,0.9311
0.36856,1.70E-04,-1.61E-04,0.75969,,0.37063,1.50E-04,-1.97E-04,0.92197
0.37269,1.68E-04,-1.61E-04,0.76536,,0.36803,1.50E-04,-1.97E-04,0.91987
0.3717,1.66E-04,-1.62E-04,0.77169,,0.36836,1.49E-04,-1.98E-04,0.926
0.36933,1.65E-04,-1.62E-04,0.77684,,0.36956,1.48E-04,-1.98E-04,0.92989
0.37149,1.64E-04,-1.62E-04,0.77866,,0.37029,1.48E-04,-1.99E-04,0.93134
0.36887,1.65E-04,-1.62E-04,0.77714,,0.36856,1.47E-04,-1.99E-04,0.93426
0.36887,1.66E-04,-1.62E-04,0.77167,,0.36868,1.47E-04,-1.99E-04,0.93491
0.36856,1.68E-04,-1.61E-04,0.76476,,0.36749,1.47E-04,-1.99E-04,0.93587
0.36737,1.69E-04,-1.61E-04,0.7621,,0.36746,1.47E-04,-1.98E-04,0.93321
0.36883,1.69E-04,-1.62E-04,0.76331,,0.36866,1.47E-04,-1.99E-04,0.93474
0.36839,1.68E-04,-1.62E-04,0.76779,,0.36771,1.46E-04,-1.99E-04,0.93752
0.36587,1.67E-04,-1.62E-04,0.7717,,0.36627,1.47E-04,-1.99E-04,0.93539
