106000000,1.62E+11,1.10E-06,141.1854,-8.58E-07,6.90E-07,2.01E-07,-3.02E-07,0,165.833
106000000,1.62045E+11,1.14E-07,115.9996,-4.99E-08,1.02E-07,2.01E-07,-3.02E-07,0,164.998
106000000,1.6209E+11,1.04E-06,-138.7398,-7.85E-07,-6.89E-07,2.01E-07,-3.02E-07,0,167.607
106000000,1.62135E+11,1.00E-06,-143.1104,-8.03E-07,-6.03E-07,2.01E-07,-3.02E-07,0,162.581
106000000,1.6218E+11,2.70E-07,-83.65199,2.98E-08,-2.68E-07,2.01E-07,-3.02E-07,0,160.164
106000000,1.62225E+11,9.07E-07,-165.4009,-8.78E-07,-2.29E-07,2.01E-07,-3.02E-07,0,168.673
106000000,1.6227E+11,4.81E-07,156.6472,-4.41E-07,1.91E-07,2.01E-07,-3.02E-07,0,167.239
106000000,1.62315E+11,5.63E-07,124.6049,-3.20E-07,4.63E-07,2.01E-07,-3.02E-07,0,169.036
106000000,1.6236E+11,6.15E-07,157.2051,-5.67E-07,2.38E-07,2.01E-07,-3.02E-07,0,168.069
106000000,1.62405E+11,5.70E-07,155.0867,-5.17E-07,2.40E-07,2.01E-07,-3.02E-07,0,163.224
106000000,1.6245E+11,4.58E-07,-156.6407,-4.20E-07,-1.82E-07,2.01E-07,-3.02E-07,0,165.482
106000000,1.62495E+11,1.19E-06,93.52549,-7.31E-08,1.19E-06,2.01E-07,-3.02E-07,0,166.295
106000000,1.6254E+11,6.69E-07,-31.21931,5.72E-07,-3.47E-07,2.01E-07,-3.02E-07,0,164.465
106000000,1.62585E+11,2.31E-07,98.5204,-3.42E-08,2.28E-07,2.01E-07,-3.02E-07,0,169.261
106000000,1.6263E+11,5.61E-07,59.14404,2.88E-07,4.81E-07,2.01E-07,-3.02E-07,0,164.218
106000000,1.62675E+11,9.58E-07,85.58993,7.36E-08,9.55E-07,2.01E-07,-3.02E-07,0,161.334
106000000,1.6272E+11,4.68E-07,46.87843,3.20E-07,3.41E-07,2.01E-07,-3.02E-07,0,166.003
106000000,1.62765E+11,2.00E-07,-1.290153,2.00E-07,-4.50E-09,2.01E-07,-3.02E-07,0,166.349
106000000,1.6281E+11,1.02E-06,-81.06706,1.59E-07,-1.01E-06,2.01E-07,-3.02E-07,0,166.432
106000000,1.62855E+11,6.52E-07,121.6364,-3.42E-07,5.55E-07,2.01E-07,-3.02E-07,0,171.398
106000000,1.629E+11,2.13E-07,115.5091,-9.19E-08,1.93E-07,2.01E-07,-3.02E-07,0,170.239
106000000,1.62945E+11,4.17E-07,10.1206,4.11E-07,7.33E-08,2.01E-07,-3.02E-07,0,166.031
106000000,1.6299E+11,1.38E-07,24.46191,1.25E-07,5.70E-08,2.01E-07,-3.02E-07,0,164.526
106000000,1.63035E+11,5.73E-07,143.3074,-4.59E-07,3.42E-07,2.01E-07,-3.02E-07,0,164.542
106000000,1.6308E+11,9.95E-07,-105.6701,-2.69E-07,-9.58E-07,2.01E-07,-3.02E-07,0,168.47
106000000,1.63125E+11,2.39E-07,-137.1482,-1.76E-07,-1.63E-07,2.01E-07,-3.02E-07,0,166.789
106000000,1.6317E+11,4.55E-07,-1.988671,4.55E-07,-1.58E-08,2.01E-07,-3.02E-07,0,164.279
106000000,1.63215E+11,4.53E-07,149.9029,-3.92E-07,2.27E-07,2.01E-07,-3.02E-07,0,167.146
106000000,1.6326E+11,5.15E-07,27.7585,4.56E-07,2.40E-07,2.01E-07,-3.02E-07,0,170.156
106000000,1.63305E+11,7.50E-07,174.5851,-7.46E-07,7.07E-08,2.01E-07,-3.02E-07,0,170.442
106000000,1.6335E+11,3.47E-07,77.59682,7.46E-08,3.39E-07,2.01E-07,-3.02E-07,0,167.492
