5.00E-04,22.65957
0.001,22.45913
0.0015,22.34348
0.002,22.34348
0.0025,22.32913
0.003,22.45478
0.0035,22.21087
0.004,22.14826
0.0045,21.72348
0.005,22.00304
0.0055,22.04696
0.006,22.32087
0.0065,21.84565
0.007,21.95783
0.0075,22.32696
0.008,21.74
0.0085,22.22217
0.009,22.10217
0.0095,21.79522
0.01,22.1013
0.0105,21.97087
0.011,21.9087
0.0115,21.85217
0.012,21.75826
0.0125,22.01609
0.013,21.93565
0.0135,22.03261
0.014,22.01609
0.0145,21.56261
0.015,21.65
0.0155,21.79739
0.016,21.62565
0.0165,21.78522
0.017,21.45565
0.0175,21.69565
0.018,21.48478
0.0185,21.36609
0.019,21.45174
0.0195,21.44522
0.02,21.7487
0.0205,21.63435
0.021,21.45696
0.0215,21.58913
0.022,21.36913
0.0225,21.14826
0.023,20.96087
0.0235,21.26696
0.024,21.60913
0.0245,21.13174
0.025,21.24826
0.0255,21.27435
0.026,21.23913
0.0265,21.02217
0.027,20.87783
0.0275,20.98217
0.028,21.2087
0.0285,21.02783
0.029,20.88565
0.0295,20.45522
0.03,20.97783
0.0305,20.87261
0.031,20.70304
0.0315,20.63391
0.032,20.59913
0.0325,20.77261
0.033,20.67087
0.0335,20.60478
0.034,20.64826
0.0345,20.63565
0.035,19.88087
0.0355,20.00435
0.036,20.53609
0.0365,20.62391
0.037,20.41957
0.0375,20.60565
0.038,20.35652
0.0385,20.39478
0.039,20.52348
0.0395,20.30652
0.04,20.13391
0.0405,20.03783
0.041,20.20391
0.0415,20.16435
0.042,19.92609
0.0425,19.89261
0.043,19.90391
0.0435,20.30565
0.044,20.2787
0.0445,19.92739
0.045,20.30478
0.0455,20.00043
0.046,19.85478
0.0465,19.72609
0.047,20.10913
0.0475,20.3187
0.048,19.70609
0.0485,19.74913
0.049,19.77391
0.0495,19.54522
0.05,19.88043
0.05,20.53913
0.06,19.5913
0.07,19.00304
0.08,18.56217
0.09,17.69478
0.1,17.92565
0.11,17.31391
0.12,16.99565
0.13,16.58522
0.14,16.00609
0.15,16.21652
0.16,15.78217
0.17,15.3487
0.18,15.04826
0.19,14.68087
0.2,14.17696
0.21,13.80957
0.22,13.70957
0.23,13.27087
0.24,13.05304
0.25,13.04957
0.26,12.9487
0.27,12.41217
0.28,12.39261
0.29,12.0813
0.3,11.34
0.31,11.78
0.32,11.08522
0.33,10.74174
0.34,10.69217
0.35,10.7987
0.36,10.46087
0.37,10.20261
0.38,10.02
0.39,9.87565
0.4,9.59174
0.41,9.20522
0.42,9.46348
0.43,9.03739
0.44,9.13304
0.45,8.7687
0.46,8.35522
0.47,8.41739
0.48,7.94043
0.49,8.0813
0.5,7.70087
0.51,7.41609
0.52,7.37565
0.53,7.16174
0.54,7.4487
0.55,7.05826
0.56,6.85
0.57,6.44478
0.58,6.31783
0.59,6.65391
0.6,6.29783
0.61,6.23174
0.62,6.0813
0.63,5.8
0.64,5.85826
0.65,5.88609
0.66,5.84652
0.67,5.53087
0.68,5.39304
0.69,5.22391
0.7,4.82826
0.71,4.80652
0.72,5.18391
0.73,4.97522
0.74,4.4187
0.75,4.4513
0.76,4.88739
0.77,4.23826
0.78,3.8887
0.79,4.24087
0.8,3.83435
0.81,3.90261
0.82,3.95913
0.83,3.97478
0.84,3.89913
0.85,3.57174
0.86,3.75783
0.87,3.10957
0.88,3.58913
0.89,2.91
0.9,3.19304
0.91,3.06087
0.92,2.60826
0.93,2.90696
0.94,2.79
0.95,2.80348
0.96,2.93
0.97,2.80261
0.98,2.46565
0.99,2.68739
1,2.35348
1.01,2.38522
1.02,2.15043
1.03,2.42043
1.04,1.43652
1.05,1.91783
1.06,2.13783
1.07,0.79783
1.08,1.47826
1.09,1.52522
1.1,1.43913
1.11,1.96783
1.12,1.07043
1.13,0.27957
1.14,1.1513
1.15,1.08913
1.16,1.69609
1.17,0.34826
1.18,0.95826
1.19,1.06348
1.2,0
1.21,0
1.22,0.84913
1.23,1.3387
1.24,0.49174
1.25,0.60913
1.26,0.40609
1.27,1.06174
1.28,0.24696
1.29,0.4513
1.3,1.04087
1.31,0.54652
1.32,0.31609
1.33,1.24522
1.35,0.56609
1.36,0.28348
1.37,0.12
1.38,0.44435
1.39,0.73391
1.4,0.25739
1.41,0.3213
1.42,0
1.43,0.38652
1.44,0.16217
1.45,0.8787
1.46,0.30217
1.47,0.50217
1.48,0.3613
1.49,0.67174
