161.0,12.6,-30.0,-0.437,3e-07,5e-07
161.01,12.6,-30.0,-0.437,9e-07,1e-07
161.02,12.6,-30.0,-0.437,6e-07,-2e-07
161.03,12.6,-30.0,-0.437,0.0,-1e-07
161.04,12.6,-30.0,-0.437,1e-07,-2e-07
161.05,12.6,-30.0,-0.437,3e-07,0.0
161.06,12.6,-30.0,-0.437,4e-07,1e-07
161.07,12.6,-30.0,-0.437,4e-07,2e-07
161.08,12.6,-30.0,-0.437,5e-07,4e-07
161.09,12.6,-30.0,-0.437,1e-07,7e-07
161.1,12.6,-30.0,-0.437,0.0,5e-07
161.11,12.6,-30.0,-0.437,-1e-07,7e-07
161.12,12.6,-30.0,-0.437,-1e-07,8e-07
161.13,12.6,-30.0,-0.437,1e-07,4e-07
161.14,12.6,-30.0,-0.437,-1e-07,-2e-07
161.15,12.6,-30.0,-0.437,-1e-07,1e-07
161.16,12.6,-30.0,-0.437,0.0,6e-07
161.17,12.6,-30.0,-0.437,-3e-07,3e-07
161.18,12.6,-30.0,-0.437,-3e-07,4e-07
161.19,12.6,-30.0,-0.437,-3e-07,2e-07
161.2,12.6,-30.0,-0.437,-2e-07,-1e-07
161.21,12.6,-30.0,-0.437,-1e-07,-1e-07
161.22,12.6,-30.0,-0.437,-7e-07,1e-07
161.23,12.6,-30.0,-0.437,-3e-07,2e-07
161.24,12.6,-30.0,-0.437,-3e-07,3e-07
161.25,12.6,-30.0,-0.437,0.0,4e-07
161.26,12.6,-30.0,-0.437,1e-07,2e-07
161.27,12.6,-30.0,-0.437,1e-07,-1e-07
161.28,12.6,-30.0,-0.437,-4e-07,-1e-07
161.29,12.6,-30.0,-0.437,-4e-07,-1e-07
161.3,12.6,-30.0,-0.437,1e-07,-1e-07
161.31,12.6,-30.0,-0.437,2e-07,2e-07
161.32,12.6,-30.0,-0.437,1e-07,-1e-07
161.33,12.6,-30.0,-0.437,4e-07,-1e-07
161.34,12.6,-30.0,-0.437,4e-07,0.0
161.35,12.6,-30.0,-0.437,3e-07,-3e-07
161.36,12.6,-30.0,-0.437,0.0,-1e-07
161.37,12.6,-30.0,-0.437,-1e-07,2e-07
161.38,12.6,-30.0,-0.437,0.0,4e-07
161.39,12.6,-30.0,-0.437,1e-07,5e-07
161.4,12.6,-30.0,-0.437,1e-07,3e-07
161.41,12.6,-30.0,-0.437,0.0,-2e-07
161.42,12.6,-30.0,-0.437,-3e-07,0.0
161.43,12.6,-30.0,-0.437,1e-07,2e-07
161.44,12.6,-30.0,-0.437,0.0,0.0
161.45,12.6,-30.0,-0.437,-4e-07,-3e-07
161.46,12.6,-30.0,-0.437,2e-07,-3e-07
161.47,12.6,-30.0,-0.437,6e-07,-5e-07
161.48,12.6,-30.0,-0.437,7e-07,-1e-07
161.49,12.6,-30.0,-0.437,0.0,0.0
161.5,12.6,-30.0,-0.437,-2e-07,2e-07
161.51,12.6,-30.0,-0.437,0.0,-2e-07
161.52,12.6,-30.0,-0.437,2e-07,-5e-07
161.53,12.6,-30.0,-0.437,5e-07,-1e-07
161.54,12.6,-30.0,-0.437,1e-07,4e-07
161.55,12.6,-30.0,-0.437,-2e-07,8e-07
161.56,12.6,-30.0,-0.437,-1e-07,2e-07
161.57,12.6,-30.0,-0.437,-1e-07,-3e-07
161.58,12.6,-30.0,-0.437,2e-07,-5e-07
161.59,12.6,-30.0,-0.437,3e-07,-4e-07
161.6,12.6,-30.0,-0.437,9e-07,0.0
161.61,12.6,-30.0,-0.437,7e-07,1e-07
161.62,12.6,-30.0,-0.437,4e-07,0.0
161.63,12.6,-30.0,-0.437,8e-07,3e-07
161.64,12.6,-30.0,-0.437,4e-07,4e-07
161.65,12.6,-30.0,-0.437,-1e-07,1e-07
161.66,12.6,-30.0,-0.437,-4e-07,2e-07
161.67,12.6,-30.0,-0.437,0.0,-1e-07
161.68,12.6,-30.0,-0.437,2e-07,3e-07
161.69,12.6,-30.0,-0.437,-1e-07,1e-07
161.7,12.6,-30.0,-0.437,-1e-07,-4e-07
161.71,12.6,-30.0,-0.437,1e-07,-4e-07
161.72,12.6,-30.0,-0.437,-1e-07,-3e-07
161.73,12.6,-30.0,-0.437,-4e-07,2e-07
161.74,12.6,-30.0,-0.437,-6e-07,-1e-07
161.75,12.6,-30.0,-0.437,-4e-07,-1e-07
161.76,12.6,-30.0,-0.437,0.0,-1e-07
161.77,12.6,-30.0,-0.437,-1e-07,1e-07
161.78,12.6,-30.0,-0.437,1e-07,3e-07
161.79,12.6,-30.0,-0.437,2e-07,5e-07
161.8,12.6,-30.0,-0.437,-1e-07,5e-07
161.81,12.6,-30.0,-0.437,0.0,3e-07
161.82,12.6,-30.0,-0.437,-4e-07,6e-07
161.83,12.6,-30.0,-0.437,-4e-07,9e-07
161.84,12.6,-30.0,-0.437,-4e-07,4e-07
161.85,12.6,-30.0,-0.437,-6e-07,5e-07
161.86,12.6,-30.0,-0.437,-1.1e-06,1.2e-06
