0.85,-137.349
0.8506,-140.592
0.8512,-144.87
0.8518,-150.479
0.8524,-142.567
0.853,-141.627
0.8536,-137.365
0.8542,-134.89
0.8548,-134.919
0.8554,-137.236
0.856,-143.331
0.8566,-144.004
0.8572,-142.758
0.8578,-142.87
0.8584,-148.137
0.859,-139.366
0.8596,-139.012
0.8602,-139.068
0.8608,-137.979
0.8614,-138.053
0.862,-141.54
0.8626,-141.616
0.8632,-143.484
0.8638,-144.868
0.8644,-141.423
0.865,-137.681
0.8656,-137.708
0.8662,-139.088
0.8668,-139.233
0.8674,-142.556
0.868,-139.418
0.8686,-139.218
0.8692,-142.764
0.8698,-148.646
0.8704,-146.286
0.871,-143.727
0.8716,-145.144
0.8722,-148.459
0.8728,-140.259
0.8734,-137.861
0.874,-137.974
0.8746,-140.243
0.8752,-136.137
0.8758,-135.517
0.8764,-135.542
0.877,-135.945
0.8776,-138.258
0.8782,-139.908
0.8788,-137.742
0.8794,-136.728
0.88,-137.115
0.8806,-140.418
0.8812,-142.82
0.8818,-140.589
0.8824,-141.933
0.883,-146.53
0.8836,-146.539
0.8842,-146.183
0.8848,-143.19
0.8854,-143.187
0.886,-144.893
0.8866,-142.837
0.8872,-142.374
0.8878,-134.17
0.8884,-132.185
0.889,-132.644
0.8896,-136.802
0.8902,-141.618
0.8908,-141.299
0.8914,-140.686
0.892,-141.567
0.8926,-143.723
0.8932,-145.994
0.8938,-147.714
0.8944,-144.083
0.895,-143.75
0.8956,-140.873
0.8962,-140.027
0.8968,-141.895
0.8974,-144.013
0.898,-138.229
0.8986,-137.589
0.8992,-140.018
0.8998,-141.29
0.9004,-141.215
0.901,-141.106
0.9016,-143.176
0.9022,-139.599
0.9028,-140.177
0.9034,-144.184
0.904,-142.18
0.9046,-142.311
0.9052,-141.107
0.9058,-140.336
0.9064,-140.964
0.907,-140.801
0.9076,-138.406
0.9082,-137.357
0.9088,-137.775
0.9094,-137.207
0.91,-136.989
0.9106,-138.806
0.9112,-137.446
0.9118,-138.142
0.9124,-141.531
0.913,-140.857
0.9136,-141.476
0.9142,-140.829
0.9148,-140.614
0.9154,-142.59
