0.04299,0.00185,2.96E-04,-1.04E-04,0.35054,,0.04299,1.94E-04,1.94E-04,-1.66E-04,0.85464
0.04399,0.00194,2.94E-04,-1.08E-04,0.36624,,0.04399,1.90E-04,1.90E-04,-1.67E-04,0.87987
0.04499,0.00202,2.91E-04,-1.11E-04,0.38208,,0.04498,1.82E-04,1.82E-04,-1.69E-04,0.92975
0.04599,0.00212,2.89E-04,-1.15E-04,0.39633,,0.04599,1.77E-04,1.77E-04,-1.70E-04,0.95939
0.04699,0.00221,2.87E-04,-1.17E-04,0.40885,,0.04699,1.72E-04,1.72E-04,-1.71E-04,0.99418
0.04799,0.0023,2.85E-04,-1.20E-04,0.4224,,0.04799,1.65E-04,1.65E-04,-1.72E-04,1.03869
0.049,0.0024,2.83E-04,-1.23E-04,0.43311,,0.049,1.60E-04,1.60E-04,-1.72E-04,1.07895
0.04998,0.0025,2.81E-04,-1.26E-04,0.44939,,0.05,1.51E-04,1.51E-04,-1.73E-04,1.14465
0.051,0.0026,2.77E-04,-1.29E-04,0.46662,,0.051,1.47E-04,1.47E-04,-1.73E-04,1.17595
0.052,0.0027,2.76E-04,-1.32E-04,0.47733,,0.05198,1.40E-04,1.40E-04,-1.73E-04,1.23782
0.053,0.00281,2.73E-04,-1.35E-04,0.49432,,0.05299,1.33E-04,1.33E-04,-1.73E-04,1.29699
0.05399,0.00292,2.70E-04,-1.38E-04,0.51169,,0.05399,1.28E-04,1.28E-04,-1.72E-04,1.33645
0.05499,0.00302,2.67E-04,-1.40E-04,0.52507,,0.055,1.28E-04,1.28E-04,-1.71E-04,1.34326
0.05599,0.00314,2.64E-04,-1.44E-04,0.54742,,0.05599,1.20E-04,1.20E-04,-1.70E-04,1.41681
0.05698,0.00325,2.60E-04,-1.48E-04,0.56923,,0.05698,1.16E-04,1.16E-04,-1.69E-04,1.45572
0.05801,0.00337,2.59E-04,-1.49E-04,0.5748,,0.05801,1.11E-04,1.11E-04,-1.68E-04,1.51351
0.059,0.00348,2.55E-04,-1.52E-04,0.59499,,0.05899,1.05E-04,1.05E-04,-1.66E-04,1.5792
0.05999,0.0036,2.52E-04,-1.55E-04,0.61212,,0.05998,1.03E-04,1.03E-04,-1.66E-04,1.60524
0.06099,0.00372,2.48E-04,-1.58E-04,0.63486,,0.06099,9.63E-05,9.63E-05,-1.63E-04,1.6947
0.06199,0.00384,2.47E-04,-1.58E-04,0.6413,,0.06199,9.05E-05,9.05E-05,-1.61E-04,1.77901
0.063,0.00397,2.43E-04,-1.62E-04,0.66584,,0.063,8.89E-05,8.89E-05,-1.60E-04,1.80202
0.06398,0.00409,2.40E-04,-1.63E-04,0.67749,,0.06399,8.23E-05,8.23E-05,-1.57E-04,1.90887
0.06499,0.00422,2.38E-04,-1.64E-04,0.68834,,0.06499,8.07E-05,8.07E-05,-1.56E-04,1.93556
0.06599,0.00435,2.32E-04,-1.69E-04,0.7288,,0.066,7.78E-05,7.78E-05,-1.54E-04,1.98072
0.067,0.00449,2.30E-04,-1.70E-04,0.74076,,0.06699,7.34E-05,7.34E-05,-1.52E-04,2.06676
0.06799,0.00462,2.25E-04,-1.74E-04,0.77416,,0.068,7.13E-05,7.13E-05,-1.50E-04,2.10799
0.069,0.00476,2.23E-04,-1.74E-04,0.78142,,0.06898,6.73E-05,6.73E-05,-1.48E-04,2.19316
0.06998,0.0049,2.19E-04,-1.76E-04,0.80301,,0.06999,6.51E-05,6.51E-05,-1.45E-04,2.23349
0.07099,0.00504,2.15E-04,-1.79E-04,0.8345,,0.071,6.25E-05,6.25E-05,-1.44E-04,2.3104
0.072,0.00518,2.12E-04,-1.80E-04,0.85248,,0.07199,5.95E-05,5.95E-05,-1.42E-04,2.38824
0.07299,0.00533,2.08E-04,-1.82E-04,0.87488,,0.07299,5.88E-05,5.88E-05,-1.41E-04,2.39626
0.074,0.00548,2.03E-04,-1.84E-04,0.90828,,0.07399,5.34E-05,5.34E-05,-1.36E-04,2.55056
0.075,0.00562,1.99E-04,-1.85E-04,0.93022,,0.07499,4.98E-05,4.98E-05,-1.33E-04,2.67671
0.07599,0.00578,1.96E-04,-1.87E-04,0.95499,,0.07599,5.25E-05,5.25E-05,-1.36E-04,2.58095
0.077,0.00593,1.95E-04,-1.86E-04,0.95487,,0.077,4.95E-05,4.95E-05,-1.32E-04,2.67071
0.078,0.00608,1.88E-04,-1.89E-04,1.00372,,0.07797,4.83E-05,4.83E-05,-1.31E-04,2.70807
0.079,0.00624,1.86E-04,-1.89E-04,1.01938,,0.07901,4.89E-05,4.89E-05,-1.31E-04,2.68303
0.07998,0.0064,1.79E-04,-1.92E-04,1.07447,,0.07998,4.28E-05,4.28E-05,-1.25E-04,2.92991
0.08098,0.00656,1.79E-04,-1.91E-04,1.06596,,0.08098,4.18E-05,4.18E-05,-1.24E-04,2.97129
0.08199,0.00672,1.74E-04,-1.92E-04,1.10638,,0.08198,4.17E-05,4.17E-05,-1.24E-04,2.97362
0.08299,0.00689,1.71E-04,-1.93E-04,1.12369,,0.083,4.01E-05,4.01E-05,-1.22E-04,3.05237
0.08399,0.00705,1.68E-04,-1.93E-04,1.15086,,0.084,3.85E-05,3.85E-05,-1.20E-04,3.11169
0.08498,0.00722,1.62E-04,-1.94E-04,1.20248,,0.085,3.47E-05,3.47E-05,-1.16E-04,3.34006
0.08598,0.00739,1.62E-04,-1.93E-04,1.19333,,0.086,3.65E-05,3.65E-05,-1.17E-04,3.21644
0.08698,0.00756,1.56E-04,-1.95E-04,1.246,,0.08699,3.32E-05,3.32E-05,-1.14E-04,3.43072
0.08799,0.00774,1.55E-04,-1.94E-04,1.25437,,0.08799,3.52E-05,3.52E-05,-1.16E-04,3.28977
0.08898,0.00792,1.49E-04,-1.94E-04,1.30403,,0.089,3.34E-05,3.34E-05,-1.14E-04,3.40719
0.08999,0.0081,1.46E-04,-1.95E-04,1.33883,,0.08999,2.81E-05,2.81E-05,-1.08E-04,3.85053
0.09099,0.00828,1.43E-04,-1.94E-04,1.35286,,0.09099,2.97E-05,2.97E-05,-1.09E-04,3.6835
0.09199,0.00846,1.40E-04,-1.94E-04,1.38659,,0.09199,2.84E-05,2.84E-05,-1.07E-04,3.76056
0.093,0.00865,1.35E-04,-1.94E-04,1.44321,,0.09299,2.74E-05,2.74E-05,-1.07E-04,3.89781
0.094,0.00884,1.34E-04,-1.93E-04,1.44221,,0.09399,2.66E-05,2.66E-05,-1.05E-04,3.95489
0.09497,0.00902,1.33E-04,-1.93E-04,1.44812,,0.095,2.32E-05,2.32E-05,-1.01E-04,4.34052
0.096,0.00922,1.25E-04,-1.93E-04,1.53907,,0.09599,2.42E-05,2.42E-05,-1.02E-04,4.20661
0.09699,0.00941,1.23E-04,-1.92E-04,1.5655,,0.097,2.24E-05,2.24E-05,-9.96E-05,4.44643
0.09799,0.0096,1.16E-04,-1.93E-04,1.66379,,0.09799,2.14E-05,2.14E-05,-9.84E-05,4.59813
0.09897,0.0098,1.12E-04,-1.92E-04,1.71467,,0.099,2.07E-05,2.07E-05,-9.68E-05,4.67633
0.09999,0.01,1.08E-04,-1.91E-04,1.759,,0.09998,2.37E-05,2.37E-05,-1.01E-04,4.24473
0.10101,0.0102,1.12E-04,-1.90E-04,1.69767,,0.10098,2.09E-05,2.09E-05,-9.66E-05,4.62201
0.10198,0.0104,1.05E-04,-1.90E-04,1.80228,,0.10199,1.88E-05,1.88E-05,-9.46E-05,5.03191
0.103,0.01061,1.01E-04,-1.88E-04,1.86991,,0.10299,2.02E-05,2.02E-05,-9.63E-05,4.76733
0.104,0.01082,1.00E-04,-1.87E-04,1.871,,0.10399,1.94E-05,1.94E-05,-9.59E-05,4.9433
0.10499,0.01102,9.98E-05,-1.86E-04,1.86774,,0.105,1.87E-05,1.87E-05,-9.40E-05,5.02674
0.10599,0.01123,9.99E-05,-1.86E-04,1.86386,,0.10599,1.75E-05,1.75E-05,-9.29E-05,5.30857
0.107,0.01145,8.95E-05,-1.85E-04,2.06257,,0.107,1.71E-05,1.71E-05,-9.18E-05,5.36842
0.10799,0.01166,9.14E-05,-1.84E-04,2.01204,,0.10799,1.54E-05,1.54E-05,-8.93E-05,5.7987
0.10898,0.01188,9.04E-05,-1.83E-04,2.02434,,0.10899,1.41E-05,1.41E-05,-8.65E-05,6.13475
0.10999,0.0121,8.58E-05,-1.81E-04,2.11422,,0.10999,1.25E-05,1.25E-05,-8.48E-05,6.784
0.11098,0.01232,9.13E-05,-1.82E-04,1.99233,,0.11099,1.39E-05,1.39E-05,-8.71E-05,6.26619
0.11197,0.01254,8.18E-05,-1.80E-04,2.19804,,0.11199,1.40E-05,1.40E-05,-8.75E-05,6.25
0.11299,0.01277,7.67E-05,-1.78E-04,2.31421,,0.11299,1.26E-05,1.26E-05,-8.55E-05,6.78571
